gait_cycle_pct,VL_mean,VL_sd,TA_mean,TA_sd,ST_mean,ST_sd,GM_mean,GM_sd
63,0.12030153,0.09938917,0.40521744,0.13537583,0.18392634,0.1212024,0.08592167,0.06372951
64,0.11898219,0.09938112,0.4474901,0.13904108,0.18175262,0.11922665,0.082839385,0.061227754
65,0.1178457,0.098768525,0.49088717,0.14142339,0.17924833,0.11693983,0.08078745,0.06036013
66,0.11684657,0.09837559,0.53169525,0.14479701,0.17614822,0.1142724,0.07976847,0.059719607
67,0.11580612,0.0975635,0.5734475,0.1469862,0.17313793,0.11104503,0.079626694,0.05962939
68,0.114768736,0.09626139,0.6147341,0.14717698,0.17076813,0.10839134,0.08002585,0.060023427
69,0.113851905,0.095066085,0.6539333,0.14576155,0.16991253,0.107690886,0.08038357,0.06037807
70,0.11288969,0.09412679,0.6881985,0.14411214,0.16903435,0.106726974,0.080657355,0.060805928
71,0.11180646,0.09281426,0.7156976,0.14180583,0.16872492,0.106532246,0.08043819,0.060130887
72,0.110720575,0.09149508,0.7376303,0.14017329,0.16878091,0.10649507,0.08044998,0.059839986
73,0.10962439,0.09053162,0.75515336,0.14078538,0.1687243,0.1058424,0.08027235,0.0596002
74,0.108370066,0.08897259,0.7655991,0.14210136,0.16904671,0.10503942,0.0801247,0.05939995
75,0.107500754,0.08792179,0.7710528,0.14383297,0.17026635,0.103679925,0.07986839,0.059279
76,0.10715331,0.08776225,0.7691668,0.14580972,0.17220663,0.10169925,0.07937919,0.058853485
77,0.10663018,0.08677408,0.76295316,0.14843793,0.17627913,0.10068768,0.07899959,0.05930086
78,0.10625057,0.08582532,0.74871475,0.1512751,0.18505926,0.10150308,0.07886222,0.059908
79,0.106414326,0.085353665,0.7308862,0.15453014,0.19701958,0.10320258,0.07859444,0.06088272
80,0.10800561,0.0862197,0.70717907,0.15791236,0.21359617,0.10761104,0.07799776,0.060900122
81,0.110535406,0.08734082,0.679658,0.16192773,0.23511443,0.11472852,0.077364825,0.060619164
82,0.1150174,0.089206904,0.64907867,0.16330415,0.2641595,0.12352338,0.07655758,0.060272764
83,0.12136375,0.09096162,0.6194314,0.16431989,0.298536,0.13332269,0.075748436,0.05986951
84,0.13102368,0.09430907,0.5907906,0.16415262,0.33547422,0.13997214,0.0750525,0.059489217
85,0.14366086,0.09787131,0.56166303,0.16044918,0.37617198,0.14714484,0.07438244,0.059271365
86,0.161082,0.10364695,0.53745687,0.15560578,0.41848832,0.15165734,0.07390007,0.059273537
87,0.1833487,0.109379396,0.519829,0.1522107,0.46292222,0.15473779,0.073786266,0.05942266
88,0.209462,0.11524792,0.5085109,0.14929941,0.5096993,0.15607394,0.07392382,0.05877168
89,0.23912184,0.12125811,0.5044663,0.14335662,0.5570548,0.15490855,0.07397826,0.059005342
90,0.27359167,0.12732951,0.5072381,0.13916537,0.603329,0.1541934,0.07403331,0.05870354
91,0.3100593,0.13125376,0.51800716,0.13522449,0.64531034,0.1510158,0.07438391,0.05897961
92,0.35364002,0.13524142,0.5371502,0.1301698,0.68252826,0.14704226,0.07480829,0.059189063
93,0.40111077,0.13924813,0.56097984,0.1256585,0.71718985,0.13846608,0.07551369,0.059811786
94,0.45286313,0.14195406,0.5914218,0.12285411,0.7485022,0.12840147,0.076634005,0.060809527
95,0.5040849,0.14217004,0.62535226,0.11634782,0.7760143,0.11583491,0.07847592,0.06224539
96,0.5565843,0.13958666,0.65932065,0.10996329,0.798738,0.10232308,0.08046708,0.063126914
97,0.6088794,0.1355674,0.6941162,0.106856175,0.81592846,0.08896172,0.08266892,0.06412266
98,0.65799755,0.12987405,0.7246064,0.103547476,0.8299101,0.07613193,0.085411206,0.06583602
99,0.7036007,0.12197424,0.751911,0.10138704,0.8364887,0.06769108,0.088555776,0.068296425
100,0.74676275,0.11476235,0.77116376,0.09992888,0.83779687,0.06549144,0.09157835,0.06968679
