gait_cycle_pct,VL_cv_pct,VL_mean,VL_sd,TA_cv_pct,TA_mean,TA_sd,ST_cv_pct,ST_mean,ST_sd,GM_cv_pct,GM_mean,GM_sd
38,61.04421,0.16039908,0.09791435,37.533386,0.2228435,0.08364072,62.69703,0.22596426,0.14167288,10.423668,0.8840128,0.09214656
39,62.20147,0.15930581,0.099090554,37.548344,0.2271307,0.08528381,62.772514,0.22245605,0.13964126,8.56134,0.9010724,0.07714387
40,63.330723,0.1583839,0.10030567,37.839554,0.23068169,0.08728892,62.908943,0.21976072,0.13824914,6.9656863,0.91341966,0.06362595
41,64.339745,0.15723507,0.10116465,38.18563,0.23493965,0.08971319,63.450676,0.21788178,0.13824746,6.472247,0.91667914,0.05932974
42,65.88028,0.1562709,0.10295171,38.322075,0.23830074,0.09132179,64.16213,0.21619748,0.1387169,7.1066403,0.91264546,0.06485843
43,67.291985,0.15589657,0.104905896,38.415916,0.24166684,0.09283853,64.72139,0.21493062,0.1391061,8.620207,0.90098643,0.07766689
44,68.46386,0.155045,0.106149785,38.506508,0.2438055,0.09388098,65.420105,0.21398777,0.13999102,10.874041,0.88102525,0.095803045
45,69.28203,0.15403928,0.106721535,38.5422,0.245211,0.09450971,66.01569,0.21327491,0.1407949,13.407276,0.85310996,0.11437881
46,70.72454,0.15273625,0.10802201,38.514786,0.24455519,0.094189905,66.86052,0.21260317,0.14214759,16.043291,0.81820834,0.13126755
47,71.48281,0.15154117,0.108325884,38.6919,0.24204472,0.0936517,67.29621,0.21182431,0.14254974,18.893404,0.7740887,0.14625171
48,72.15921,0.15003467,0.108263835,38.621227,0.2375708,0.09175277,67.53978,0.21175459,0.14301859,21.938402,0.7233175,0.1586843
49,72.84308,0.14779763,0.107660346,38.545876,0.23235781,0.08956435,67.6355,0.21117187,0.14282714,25.173262,0.6688581,0.1683734
50,72.83449,0.14542341,0.1059184,38.19675,0.22532026,0.086065024,67.82932,0.21064197,0.14287701,28.61068,0.6110153,0.17481564
51,73.09606,0.14377046,0.10509054,38.101063,0.21877137,0.08335421,67.845245,0.20950718,0.14214067,32.45334,0.5504859,0.17865106
52,73.505615,0.14209454,0.10444746,37.901974,0.21243107,0.08051557,67.78518,0.2087262,0.14148542,36.87554,0.48715264,0.17964017
53,73.62617,0.14006628,0.10312543,37.793266,0.20615141,0.077911355,67.43739,0.2079522,0.14023754,41.981895,0.4229138,0.17754722
54,73.755264,0.13799804,0.101780824,38.25213,0.20266746,0.07752462,67.45752,0.20672938,0.13945451,47.78921,0.3617348,0.17287022
55,74.18211,0.13587105,0.10079201,38.720642,0.20257802,0.07843951,67.7571,0.20515381,0.13900627,53.26787,0.30448547,0.16219293
56,74.63904,0.13317907,0.09940358,38.86237,0.2071233,0.08049302,67.723915,0.20284675,0.13737577,58.58365,0.2525193,0.14793502
57,75.40149,0.130696,0.09854673,39.65431,0.21816954,0.08651362,67.48937,0.20013438,0.13506944,63.936146,0.20603308,0.1317296
58,76.71276,0.12846237,0.09854703,40.69151,0.23449287,0.09541869,67.48979,0.1972318,0.13311133,68.792786,0.1692263,0.116415486
59,78.02618,0.1261737,0.098448515,41.131313,0.2582654,0.10622795,67.075325,0.19367121,0.1299056,72.55917,0.13874394,0.10067145
60,79.39619,0.124299206,0.09868883,40.407227,0.28931856,0.11690561,66.807495,0.19102448,0.12761867,74.84347,0.1160664,0.08686812
61,80.99789,0.12320434,0.09979292,38.793724,0.3250202,0.12608744,66.397156,0.18891804,0.1254362,74.18492,0.1010162,0.07493879
62,82.09759,0.121819645,0.10001099,36.314327,0.36412886,0.13223094,66.02083,0.18633664,0.12302099,74.61875,0.09165143,0.068389155
63,82.616714,0.12030153,0.09938917,33.408195,0.40521744,0.13537583,65.89725,0.18392634,0.1212024,74.17164,0.08592167,0.06372951
64,83.52605,0.11898219,0.09938112,31.07132,0.4474901,0.13904108,65.59831,0.18175262,0.11922665,73.91141,0.082839385,0.061227754
65,83.81174,0.1178457,0.098768525,28.809755,0.49088717,0.14142339,65.239006,0.17924833,0.11693983,74.71474,0.08078745,0.06036013
66,84.19211,0.11684657,0.09837559,27.233086,0.53169525,0.14479701,64.87286,0.17614822,0.1142724,74.86618,0.07976847,0.059719607
67,84.24728,0.11580612,0.0975635,25.632023,0.5734475,0.1469862,64.13674,0.17313793,0.11104503,74.88618,0.079626694,0.05962939
68,83.87422,0.114768736,0.09626139,23.941568,0.6147341,0.14717698,63.472813,0.17076813,0.10839134,75.00505,0.08002585,0.060023427
69,83.49978,0.113851905,0.095066085,22.289972,0.6539333,0.14576155,63.380188,0.16991253,0.107690886,75.11246,0.08038357,0.06037807
70,83.37943,0.11288969,0.09412679,20.94049,0.6881985,0.14411214,63.139225,0.16903435,0.106726974,75.38795,0.080657355,0.060805928
