filename,subject,trial,step,pass,reasons
S013_Trial02_Step01.csv,S013,2,1,True,PASS
S013_Trial02_Step02.csv,S013,2,2,True,PASS
S013_Trial03_Step01.csv,S013,3,1,True,PASS
S013_Trial03_Step02.csv,S013,3,2,True,PASS
S013_Trial04_Step01.csv,S013,4,1,True,PASS
S013_Trial04_Step02.csv,S013,4,2,True,PASS
S013_Trial05_Step01.csv,S013,5,1,True,PASS
S013_Trial05_Step02.csv,S013,5,2,True,PASS
S014_Trial01_Step01.csv,S014,1,1,True,PASS
S014_Trial01_Step02.csv,S014,1,2,True,PASS
S014_Trial02_Step01.csv,S014,2,1,True,PASS
S014_Trial02_Step02.csv,S014,2,2,True,PASS
S014_Trial03_Step01.csv,S014,3,1,True,PASS
S014_Trial03_Step02.csv,S014,3,2,True,PASS
S014_Trial04_Step01.csv,S014,4,1,True,PASS
S014_Trial04_Step02.csv,S014,4,2,True,PASS
S014_Trial05_Step01.csv,S014,5,1,True,PASS
S014_Trial05_Step02.csv,S014,5,2,True,PASS
S015_Trial01_Step01.csv,S015,1,1,True,PASS
S015_Trial01_Step02.csv,S015,1,2,True,PASS
S015_Trial02_Step01.csv,S015,2,1,True,PASS
S015_Trial02_Step02.csv,S015,2,2,True,PASS
S015_Trial03_Step01.csv,S015,3,1,True,PASS
S015_Trial03_Step02.csv,S015,3,2,True,PASS
S015_Trial04_Step01.csv,S015,4,1,True,PASS
S015_Trial04_Step02.csv,S015,4,2,True,PASS
S015_Trial05_Step01.csv,S015,5,1,True,PASS
S015_Trial05_Step02.csv,S015,5,2,True,PASS
S016_Trial01_Step01.csv,S016,1,1,True,PASS
S016_Trial01_Step02.csv,S016,1,2,True,PASS
S016_Trial02_Step01.csv,S016,2,1,True,PASS
S016_Trial02_Step02.csv,S016,2,2,True,PASS
S016_Trial03_Step01.csv,S016,3,1,True,PASS
S016_Trial03_Step02.csv,S016,3,2,True,PASS
S016_Trial04_Step01.csv,S016,4,1,True,PASS
S016_Trial05_Step01.csv,S016,5,1,True,PASS
S017_Trial01_Step01.csv,S017,1,1,True,PASS
S017_Trial02_Step01.csv,S017,2,1,True,PASS
S017_Trial02_Step02.csv,S017,2,2,True,PASS
S017_Trial03_Step01.csv,S017,3,1,True,PASS
S017_Trial03_Step02.csv,S017,3,2,True,PASS
