filename,file_path,subject,trial,step,sha256,n_rows,n_cols,nan_count,inf_count,missing_pct,global_min,global_max,VL_mean,VL_std,VL_min,VL_max,TA_mean,TA_std,TA_min,TA_max,ST_mean,ST_std,ST_min,ST_max,GM_mean,GM_std,GM_min,GM_max
S002_Trial02_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S002_Trial02_Step02.csv,S002,2,2,1a720d87dbb1273e8fe3e9fd90bfacb8c9fbbf4f1e23700be09b545fcb7a5e1b,101,4,0,0,0.0,0.0072204292568927,0.179302228502599,0.034781,0.031389,0.010792,0.111767,0.058863,0.050366,0.014419,0.179302,0.036793,0.012168,0.017729,0.069264,0.024167,0.016526,0.00722,0.062153
S002_Trial03_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S002_Trial03_Step01.csv,S002,3,1,dda2ec7abd92ddc1eb66a7ee325718e764d1c65c67755c5784e399caa18517c2,101,4,0,0,0.0,0.0069110001018438,0.141099299725077,0.041719,0.040703,0.01379,0.141099,0.059764,0.044307,0.010494,0.136927,0.028597,0.013087,0.013546,0.065044,0.020089,0.011756,0.006911,0.045105
S002_Trial03_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S002_Trial03_Step02.csv,S002,3,2,a354e09acd83f01cf36d0ca28e9efd3639238d63fbff47d6e392e7ad7da39e35,101,4,0,0,0.0,0.00586078382009,0.145601264837304,0.035605,0.027899,0.013705,0.1077,0.056255,0.041023,0.011145,0.145601,0.034207,0.014685,0.01423,0.06941,0.022172,0.014318,0.005861,0.051768
S002_Trial04_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S002_Trial04_Step01.csv,S002,4,1,e059b1df869a5180aab6b2e1c17454ffddf2fc71920d580cdb2c05d70ea9e041,101,4,0,0,0.0,0.0073252689089034,0.119675323706952,0.032348,0.026897,0.013067,0.098631,0.049312,0.035376,0.007577,0.119675,0.037732,0.015909,0.014543,0.071573,0.018677,0.010057,0.007325,0.03928
S002_Trial04_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S002_Trial04_Step02.csv,S002,4,2,3a4f9a5db3568aa1eaa17b44588ced739bb42cf0ade7126db1f6e9dc9671c584,101,4,0,0,0.0,0.0068512879629493,0.120627430681625,0.038879,0.035317,0.012168,0.120627,0.045886,0.029175,0.010866,0.093696,0.039001,0.014979,0.015568,0.071745,0.021137,0.010794,0.006851,0.039997
S002_Trial05_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S002_Trial05_Step01.csv,S002,5,1,98c417d3adc02339863320183df0222798936d268b60ebdecd67c2e66fbd3255,101,4,0,0,0.0,0.0077749036099716,0.0998253230190513,0.030528,0.025897,0.011177,0.090241,0.041255,0.027637,0.010627,0.095813,0.034645,0.019745,0.013329,0.099825,0.020218,0.009144,0.007775,0.042125
S002_Trial05_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S002_Trial05_Step02.csv,S002,5,2,05498b08a9d71898f7c11cbc9b16ee17e40a3a50dbf29ec030c7d67796d47dee,101,4,0,0,0.0,0.008553633042454,0.151951131643557,0.030744,0.027367,0.011197,0.097237,0.051027,0.043673,0.00943,0.151951,0.037828,0.014363,0.016723,0.077797,0.021956,0.010639,0.008554,0.045901
S003_Trial01_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S003_Trial01_Step01.csv,S003,1,1,a4c06a567914b15fdff47327c9db9ba027a70fead2c41731f989114af1ef3d4a,101,4,0,0,0.0,0.0059739095583943,0.174427381070003,0.030532,0.027478,0.007959,0.098171,0.040619,0.027663,0.005974,0.092576,0.044916,0.017946,0.017414,0.078161,0.067754,0.064717,0.006795,0.174427
S003_Trial02_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S003_Trial02_Step01.csv,S003,2,1,eb6b65f263b0b77757f4faff0f952faac155b95161defb0605259fdcaef12758,101,4,0,0,0.0,0.0046734817224367,0.262734450429965,0.035336,0.028916,0.008484,0.101262,0.043724,0.022193,0.005167,0.084834,0.02849,0.017951,0.008878,0.06861,0.067062,0.079475,0.004673,0.262734
S003_Trial03_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S003_Trial03_Step01.csv,S003,3,1,938b256b0ccfd3acedbbcafb7fa60fad3d82d052c63ae775c262bc5f7c5808a6,101,4,0,0,0.0,0.0048888333418205,0.260609005077868,0.066814,0.08114,0.007221,0.260609,0.037965,0.029637,0.005487,0.102724,0.038812,0.019689,0.009749,0.080714,0.066734,0.080398,0.004889,0.246379
S003_Trial04_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S003_Trial04_Step01.csv,S003,4,1,b980f94447938267eb8bbc8e8c40ce5dd388174d275ab3da155220a6a43040d1,101,4,0,0,0.0,0.005346013652452,0.271873509611151,0.042209,0.038035,0.007749,0.125238,0.036694,0.029061,0.005853,0.104196,0.032619,0.016179,0.008932,0.06151,0.075973,0.093929,0.005346,0.271874
S003_Trial05_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S003_Trial05_Step01.csv,S003,5,1,45fd95c597c155f68c98dc41ff829a72866407de06f6c2b5f691603c34f0878d,101,4,0,0,0.0,0.0052654673577936,0.315709816318193,0.049265,0.037733,0.007951,0.139997,0.040821,0.03093,0.005265,0.108104,0.040307,0.015588,0.009848,0.073656,0.090954,0.100738,0.007908,0.31571
S004_Trial01_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial01_Step01.csv,S004,1,1,2c3cf459eb682c419470b8a0dd11b7422a81544d6ac27dc8dd882a6fc259d235,101,4,0,0,0.0,0.0101308859401626,0.428634519235916,0.048081,0.04957,0.01092,0.155264,0.068188,0.042051,0.019267,0.159334,0.035873,0.013743,0.014679,0.0649,0.11172,0.141127,0.010131,0.428635
S004_Trial01_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S004_Trial01_Step02.csv,S004,1,2,186514e8fc839c39dd957df265d2b1f63741bf69dd05591b15a405abcdf50100,101,4,0,0,0.0,0.0112945142281538,0.459539328199974,0.051503,0.048375,0.011952,0.16161,0.05809,0.032652,0.013641,0.113621,0.03965,0.011853,0.014028,0.064119,0.12723,0.159707,0.011295,0.459539
